taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,description,external_uri
taxonomy_term--islandora_models,22,22,en,2020-10-08T08:39:27+00:00,True,Audio,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,"A resource primarily intended to be heard. Examples include a music playback file format, an audio compact disc, and recorded speech or sounds","{'uri': 'http://purl.org/coar/resource_type/c_18cc', 'title': None, 'options': []}"
taxonomy_term--islandora_models,23,23,en,2020-10-08T08:39:27+00:00,True,Binary,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,A generic binary file for repository items that don't fall into any other category or cannot be shown in a browser,"{'uri': 'http://purl.org/coar/resource_type/c_1843', 'title': None, 'options': []}"
taxonomy_term--islandora_models,24,24,en,2020-10-08T08:39:27+00:00,True,Collection,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,A collection is an aggregation of items,"{'uri': 'http://purl.org/dc/dcmitype/Collection', 'title': None, 'options': []}"
taxonomy_term--islandora_models,25,25,en,2020-10-08T08:39:27+00:00,True,Image,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,"A visual representation other than text, including all types of moving image and still image","{'uri': 'http://purl.org/coar/resource_type/c_c513', 'title': None, 'options': []}"
taxonomy_term--islandora_models,26,26,en,2020-10-08T08:39:27+00:00,True,Video,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,"A recording of visual images, usually in motion and with sound accompaniment","{'uri': 'http://purl.org/coar/resource_type/c_12ce', 'title': None, 'options': []}"
taxonomy_term--islandora_models,27,27,en,2020-10-08T08:39:27+00:00,True,Digital Document,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,An electronic file or document.,"{'uri': 'https://schema.org/DigitalDocument', 'title': None, 'options': []}"
taxonomy_term--islandora_models,28,28,en,2020-10-08T08:39:27+00:00,True,Paged Content,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,"An Electronic Book, object with pages","{'uri': 'https://schema.org/Book', 'title': None, 'options': []}"
taxonomy_term--islandora_models,29,29,en,2020-10-08T08:39:27+00:00,True,Page,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,A page in an Electronic Paged Content Object,"{'uri': 'http://id.loc.gov/ontologies/bibframe/part', 'title': None, 'options': []}"
taxonomy_term--islandora_models,30,30,en,2020-10-08T08:39:27+00:00,True,Publication Issue,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,"A part of a successively published publication such as a periodical or publication volume, often numbered, usually containing a grouping of works such as articles.","{'uri': 'https://schema.org/PublicationIssue', 'title': None, 'options': []}"
