taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,description,dcmi_types
taxonomy_term--resource_types,2285,2285,en,2021-10-08T20:36:53+00:00,True,Text,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,fdb48f54-3365-4681-b391-9449384221f6,http://purl.org/dc/dcmitype/Text;dcmi_types,A resource consisting primarily of words for reading.,http://purl.org/dc/dcmitype/Text
taxonomy_term--resource_types,2286,2286,en,2021-10-08T20:36:53+00:00,True,Image,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,6d65cebc-0b8c-4941-896c-44237a0667c2,http://purl.org/dc/dcmitype/Image;dcmi_types,A visual representation other than text.,http://purl.org/dc/dcmitype/Image
taxonomy_term--resource_types,2287,2287,en,2021-10-08T20:36:53+00:00,True,Collection,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,19f97bd3-d67f-47d5-b6d9-7d56d80d3275,http://purl.org/dc/dcmitype/Collection;dcmi_types,An aggregation of resources.,http://purl.org/dc/dcmitype/Collection
taxonomy_term--resource_types,2288,2288,en,2021-10-08T20:36:53+00:00,True,Dataset,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,63b6076e-bac2-4482-b7c3-5e16c9293b03,http://purl.org/dc/dcmitype/Dataset;dcmi_types,Data encoded in a defined structure.,http://purl.org/dc/dcmitype/Dataset
taxonomy_term--resource_types,2289,2289,en,2021-10-08T20:36:53+00:00,True,Event,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,8f9d17fb-e1eb-4014-a30a-cf2cc7d07cc4,http://purl.org/dc/dcmitype/Event;dcmi_types,"A non-persistent, time-based occurrence.",http://purl.org/dc/dcmitype/Event
taxonomy_term--resource_types,2290,2290,en,2021-10-08T20:36:53+00:00,True,Interactive Resource,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,6d30a998-7627-4a60-83ce-924849cba3b6,http://purl.org/dc/dcmitype/InteractiveResource;dcmi_types,"A resource requiring interaction from the user to be understood, executed, or experienced.",http://purl.org/dc/dcmitype/InteractiveResource
taxonomy_term--resource_types,2291,2291,en,2021-10-08T20:36:53+00:00,True,Moving Image,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,18477ab8-bf4f-44f2-a4e3-2f5b13b740ee,http://purl.org/dc/dcmitype/MovingImage;dcmi_types,A series of visual representations imparting an impression of motion when shown in succession.,http://purl.org/dc/dcmitype/MovingImage
taxonomy_term--resource_types,2292,2292,en,2021-10-08T20:36:53+00:00,True,Physical Object,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,a2bd17dd-94b5-475e-b83a-cbcd0df1b09f,http://purl.org/dc/dcmitype/PhysicalObject;dcmi_types,"An inanimate, three-dimensional object or substance.",http://purl.org/dc/dcmitype/PhysicalObject
taxonomy_term--resource_types,2293,2293,en,2021-10-08T20:36:53+00:00,True,Service,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,75468591-c0f3-4857-9bc9-1a7e678701c4,http://purl.org/dc/dcmitype/Service;dcmi_types,A system that provides one or more functions.,http://purl.org/dc/dcmitype/Service
taxonomy_term--resource_types,2294,2294,en,2021-10-08T20:36:53+00:00,True,Software,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,b7ad94b7-f87b-4a6b-923a-9e44078db62f,http://purl.org/dc/dcmitype/Software;dcmi_types,A computer program in source or compiled form.,http://purl.org/dc/dcmitype/Software
taxonomy_term--resource_types,2295,2295,en,2021-10-08T20:36:53+00:00,True,Sound,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,7ffb3824-885c-4b9c-a084-6a836727d1d3,http://purl.org/dc/dcmitype/Sound;dcmi_types,A resource primarily intended to be heard.,http://purl.org/dc/dcmitype/Sound
taxonomy_term--resource_types,2296,2296,en,2021-10-08T20:36:53+00:00,True,Still Image,0,2023-01-12T16:45:40+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:36:53+00:00,c10d0ff3-82fa-427f-95a6-5a95e3b64987,http://purl.org/dc/dcmitype/StillImage;dcmi_types,A static visual representation.,http://purl.org/dc/dcmitype/StillImage
